,CGNDB ID,place_name,ISO Language Code,language,Syllabic Form,term,category,Concise Code,Toponymic Feature ID,lat,long,Location,province,relevance,Decision Date,Source,Unnamed: 0.1,Unnamed: 0,description,etymology,merge_type,source
3364,FDBKP,Watford,und,Undetermined,,Community,Populated Place,UNP,7190cd4dc6cd11d892e2080020a0f4c9,42.95031,-81.8801,Lambton,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,1061.0,1061.0,"Watford: incorporated village, (1874), in the county
    of Lambton, Ontario, situated on the C.N.R., thirty-three
    miles west of London. The place was named after the town of Watford, in
    Hertfordshire, England, on the River Colne, fifteen miles
    north-west of London. In 1853 the late Richard Brown, Esquire, settled in the
    Township of Warwick at a place then called Brown’s
    Corners, where Watford now is located, opening a small
    store. In 1854 he was appointed postmaster by the
    Postmaster-General, Hon. Malcolm Cameron. On
    being asked by Mr. Cameron to suggest a name for the
    new post-office, Mr. Brown replied that he had just received
    a letter dated at Watford, England, from a friend,
    and if the Honourable Gentleman thought it fit he might
    apply that name, which was accordingly adopted. This
    information was received from the courteous Town Clerk,
    Mr. W. S. Fuller. The word, Watford, was derived from Wat or Wata,
    and ford, that is, “Wat’s ford on the river Colne”.",English,exact,Armstrong (1930)
3366,FDBNQ,Waupoos,ojg,"Eastern Ojibwe, Nishnaabemwin",,Dispersed Rural Community,Populated Place,UNP,0c54b3c1849c20c3290cd02e0371df15,44.00322,-77.00034,Prince Edward,Ontario,1000000,2/7/1951,Ontario-Ministry of Natural Resources and Forestry,,,,Indigenous,exact,Canadian Geographic Names Database
3368,GBDJH,Wawanesa,mis,Uncoded languages,,Village,Populated Place,VILG,9a0133b0bef311d892e2080020a0f4c9,49.595,-99.683889,26-7-17-W,Manitoba,1000000,12/3/1946,MB-Natural Resources and Northern Development,,,,Indigenous,exact,Canadian Geographic Names Database
3369,HAUIX,Wawota,dak,Dakota,,Town,Populated Place,TOWN,27560171c6ce11d892e2080020a0f4c9,49.9065417,-102.0262222,13-11-1-W2,Saskatchewan,1000000,5/29/1985,"Saskatchewan-Ministry of Parks, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
3371,FDBSP,Webbwood,und,Undetermined,,Community,Populated Place,UNP,71c3c432c6cd11d892e2080020a0f4c9,46.2694445,-81.8888889,Sudbury,Ontario,1000000,7/1/1998,Ontario-Ministry of Natural Resources and Forestry,1065.0,1065.0,"Webbwood: town in Sudbury district, Ontario. It
    was founded in 1875 and incorporated in 1907. The town was named after Andrew Webb, one of the
    original settlers. The principal industry of Webbwood, as its name
    indicates, was lumbering until about five years ago when,
    the timber being exhausted, the people turned to mining.
    Some rich veins of gold have been uncovered a few miles
    north of the town.",English,exact,Armstrong (1930)
3377,FDBYS,Wellesley,und,Undetermined,,Suburban Community,Populated Place,UNP,5f81206ac6ce11d892e2080020a0f4c9,43.47534,-80.76374,Waterloo,Ontario,1000000,12/31/1974,Ontario-Ministry of Natural Resources and Forestry,1067.0,1067.0,"Wellesley: township in Waterloo county, Ontario,
    erected in 1840. It took its name from Richard Wellesley, Baron
    Wellesley, eldest brother of the Duke of Wellington. The
    title is taken from Wellesley in Somersetshire, England.[299] He gave distinguished service to the Empire as Governor-General
    of India, 1798-1805.",English,exact,Armstrong (1930)
3378,FDBYY,Wellington,und,Undetermined,,Community,Populated Place,UNP,422df3bec6ce11d892e2080020a0f4c9,43.95228,-77.35045,Prince Edward,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,1068.0,1068.0,"Wellington: county in Ontario, formed in 1851. It was named in honour of Arthur Wellesley, Duke of
    Wellington, 1769-1851. He had a distinguished military
    and political career. His remains are interred in St.
    Paul’s Cathedral, London, side by side with Nelson. The town of Wellington from which the title is taken
    is in the county of Somerset, England. Near the town
    is a magnificent monument, erected by voluntary contributions,
    in commemoration of the great victory at
    Waterloo.",English,exact,Armstrong (1930)
3391,FDCNB,Westmeath,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c551d08849c20c3effaa903eb5a3879,45.8172222,-76.8883333,Renfrew,Ontario,1000000,3/5/1935,Ontario-Ministry of Natural Resources and Forestry,1070.0,1070.0,"Westmeath: township in Renfrew county, Ontario,
    erected in 1830. It took its name from the county of Westmeath in
    central Ireland.",Irish,exact,Armstrong (1930)
3400,FDCYE,Whitby,und,Undetermined,,Town,Populated Place,TOWN,97299419c6be11d892e2080020a0f4c9,43.9325,-78.9544445,Durham,Ontario,1000000,1/1/1968,Ontario-Ministry of Natural Resources and Forestry,1075.0,1075.0,"Whitby: township in Ontario county, Ontario, erected
    in 1792; and a town in the same county. It took its name from the seaport town of Whitby in
    Yorkshire, England. The name is Danish. It is a contraction of Whitteby. Whitte means “white”, and bye or by means “a village”,
    that is, “the white village”. The allusion may be to the
    lighthouse of the port.",English,exact,Armstrong (1930)
3411,FDDLD,White,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c559491849c20c31441d721ff4285b6,45.4911111,-78.2388889,Nipissing,Ontario,1000000,1/17/1952,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3412,CBOUH,Whycocomagh,mic,"Mikmaw, Migmaw",,Community,Populated Place,UNP,d24eec28aff711d892e2080020a0f4c9,45.973824,-61.119122,Inverness,Nova Scotia,1000000,6/26/2007,Nova Scotia-Department of Internal Services,,,,Indigenous,exact,Canadian Geographic Names Database
3413,FDDMR,Wiarton,und,Undetermined,,Community,Populated Place,UNP,521bdd8cc6ce11d892e2080020a0f4c9,44.74066,-81.13999,Bruce,Ontario,1000000,1/1/1999,Ontario-Ministry of Natural Resources and Forestry,1078.0,1078.0,"Wiarton: enterprising town in Bruce county, Ontario. Wiarton received its name from the birthplace of
    Sir Edmund Walker Head, Governor-General of Canada
    (1855-’61) at the time of its survey. He was born at
    Wiarton Place, near Maidstone, Kent, England. Mr.
    James Lennox (1815-1902) built the first house here,
    arriving on Nov. 16, 1866.",English,exact,Armstrong (1930)
3417,FDDRF,Wikwemikong,otw,Odawa,,Compact Rural Community,Populated Place,UNP,0c55bd60849c20c3645f21e0c68bdb88,45.8066667,-81.7172223,Manitoulin,Ontario,1000000,8/2/1950,Ontario-Ministry of Natural Resources and Forestry,,,,Indigenous,exact,Canadian Geographic Names Database
3418,FDDRO,Wilberforce,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c55be77849c20c36f6180e2cb198f2d,45.0375,-78.2244444,Haliburton,Ontario,1000000,1/17/1952,Ontario-Ministry of Natural Resources and Forestry,1080.0,1080.0,"Wilberforce: township in Renfrew county, Ontario,
    organized in 1851. It was named in honour of William Wilberforce, an
    English statesman and philanthropist. It was largely
    through his efforts that the Emancipation Act of 1833
    was passed by the British Parliament. By this Act
    slavery was abolished in all British Dominions. The
    slave-holders were granted £20,000,000 as compensation,
    and eight hundred thousand slaves were set free in 1838,
    after giving five years of apprenticeship to prepare
    them for freedom, and to enable the planters to meet the
    new conditions. [302]",English,exact,Armstrong (1930)
3421,FDDWW,Williamsburg,und,Undetermined,,Locality,Populated Place,UNP,72cf67ebc6cd11d892e2080020a0f4c9,44.97601,-75.24173,Dundas,Ontario,1000000,11/30/1991,Ontario-Ministry of Natural Resources and Forestry,1083.0,1083.0,"Williamsburg: township in Dundas county, Ontario,
    erected in 1787. It was named in honour of Prince William Henry,
    third son of King George III., 1765-1839. At the age of
    fourteen he became a midshipman on a man-of-war. In
    1811 at the age of forty-six he had risen to be Admiral of
    the fleet. The sailor Prince became King William IV. in
    1830. It has been written of him that he “walked in
    London streets with his umbrella under his arm, frankly
    shook hands with old acquaintances, and was a favourite
    with the people”.",English,exact,Armstrong (1930)
3422,FDDWZ,Williams,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0d03f6a3849c20c37949227d761390c5,44.37711,-80.86986,Grey,Ontario,1000000,4/16/1945,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3429,FDEEA,Winchester,und,Undetermined,,Community,Populated Place,UNP,427731c5c6ce11d892e2080020a0f4c9,45.09193,-75.35212,Dundas,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,1088.0,1088.0,"Winchester: township in Dundas county, Ontario,
    erected in 1798; and a town in the same county. [304] They took their name from the old town of Winchester
    in Hampshire, England, the capital in King Alfred the
    Great’s reign. The word is derived from old English win, “a plain”,
    and caster (Latin castra), “a fort”, that is, “a fortified
    place in the open country”.",English,exact,Armstrong (1930)
3435,FDEIZ,Windham,und,Undetermined,,Community,Populated Place,UNP,5c33c9ddc6ce11d892e2080020a0f4c9,43.8883334,-81.3088889,Huron,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3437,EITLC,Winneway,alq,Algonquin,,Amerindian Settlement,Populated Place,UNP,c1571f7ebf0a11d892e2080020a0f4c9,47.57711,-78.564883,Winneway; Témiscamingue,Quebec,1000000,5/11/1976,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3445,CBROD,Wolfville,und,Undetermined,,Town,Populated Place,TOWN,1c097cdbaffd11d892e2080020a0f4c9,45.091713,-64.359242,Kings,Nova Scotia,1000000,7/5/1951,Nova Scotia-Department of Internal Services,1096.0,1096.0,"Wolfville or Wolfeville: pleasant town in Nova Scotia,
    incorporated in 1893. It is situated close to Grand Pré,
    the centre of the “Evangeline District”. During the summer
    season it is the headquarters of tourists visiting this
    historic section of the Province. Wolfville is the seat of
    Acadia College, an institution of the Baptist Church, and
    the much loved alma mater of many professional Maritime
    men. [307] The town was named in honour of its founders, a
    family by the name of De Wolfe, descendants of whom
    still reside there. They are said to be distant relatives of
    General James Wolfe, the leader of the British army in
    the Battle of the Plains of Abraham, 1759. In recent years the “e” has been elided from Wolfeville,
    but it was retained by Haliburton in his History of
    Nova Scotia and by early map-makers.",English,exact,Armstrong (1930)
3453,FDFFC,Wooler,und,Undetermined,,Compact Rural Community,Populated Place,UNP,73309ac4c6cd11d892e2080020a0f4c9,44.1572222,-77.7,Northumberland,Ontario,1000000,12/31/1974,Ontario-Ministry of Natural Resources and Forestry,1102.0,1102.0,"Wooler: pleasant and prosperous village of about 400
    people in the county of Northumberland, Ontario. C. G. Ruttan, a pioneer who rode into this district on
    horseback seventy-eight years ago (1851) states that
    there was only one building then on the site of the present
    village. It was half hotel and half store. The place was
    then known as Smith’s Corners. Mr. Ruttan built the
    first church when the number of people in the place had
    grown to about one hundred. Then the name was changed
    at the people’s request to Wooler after Wooler in
    Northumberland county, England, from which some of
    the early settlers had come. Information from Mr. and
    Mrs. L. B. Scott of Wooler Post Office. The word Wooler is derived from old English Welloure meaning “well over the bank or edge” of the River Till,
    an affluent of the Tweed, on which it is situated. Locally[309] the word Wooler is considered to mean a great wool
    market which the town is, but English place-names in
    Wool, seldom have any connection with the wool of
    commerce.",English,exact,Armstrong (1930)
3461,JCJLY,Yale,und,Undetermined,,Community,Populated Place,UNP,16691f19c6ce11d892e2080020a0f4c9,49.5622222,-121.4305556,Yale Division Yale Land District,British Columbia,1000000,5/14/1982,"British Columbia-Tourism, Arts, Culture and Sport",1106.0,1106.0,"Yale: picturesque town situated on the Fraser River
    and county or district in southern British Columbia. Fort Yale was founded by the Hudson’s Bay Company
    in 1848 and named after a Mr. Yale, an efficient factor,
    in the employ of the Company in that district. The town
    and county were named in his honour.",English,exact,Armstrong (1930)
3462,EMSBJ,Yamachiche,abe,Abenaki Western,,Municipality,Populated Place,VILG,df8b3afed1e111d892e2080020a0f4c9,46.280077,-72.835505,Yamachiche; Maskinongé,Quebec,1000000,3/9/1988,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3463,ERDQM,Yamaska,abe,Abenaki Western,,Municipality,Populated Place,VILG,0d0a7345849c20c387b4a88e34a62c3b,46.008075,-72.900458,Yamaska; Pierre-De Saurel,Quebec,1000000,1/24/2002,Quebec-Commission de Toponymie,1107.0,1107.0,"Yamaska: county, village and river in Quebec. Lacombe and Lafleche derive the word from the Cree
    Indian Igamaska, meaning “where the grass and rushes
    are high”. R. P. Lemoine thinks it is Montagnais with[310] practically the same meaning. The word was, doubtless,
    applied first to the water by the Indians.",Indigenous,exact,Canadian Geographic Names Database
3470,FDFVL,York,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c56a0ce849c20c3a96a377a2bb9fd56,43.0224,-79.88874,Haldimand,Ontario,1000000,12/7/1937,Ontario-Ministry of Natural Resources and Forestry,1113.0,1113.0,"York: county in Ontario, and township in the same
    county, both organized in 1792. They were named after Yorkshire in England.
    Original Celtic form was Eborach, ebor or abar, “a
    marsh”, and ach, “place of”, meaning “a marshy or
    muddy place”. The present form of York comes through
    the influence of Danes who called it Jorvick, the J being
    equivalent to Y. (Johnston’s Place Names of England
    and Wales.)",English,exact,Armstrong (1930)
3483,JALGL,'Ksan,git,"Gitxsanimx?, Gitsenimx?",,Locality,Populated Place,UNP,0c9027e6849c20c3b7699258af3d9233,55.249444,-127.679722,Cassiar Land District,British Columbia,250000,2/10/1976,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
3495,KBAXI,?u Gh?,tce,"Dän K?è, Southern Tutchone",,Locality,Populated Place,UNP,3c5149c5d05411d892e2080020a0f4c9,60.2936111,-137.0036111,,Yukon,250000,9/11/2018,Yukon-Department of Tourism and Culture,,,,Indigenous,exact,Canadian Geographic Names Database
3502,EKVEY,Abenakis Springs,abe,Abenaki Western,,Named Locality,Populated Place,UNP,0cc21437849c20c3b278297d1ef01056,46.0802778,-72.8647222,Saint-François-du-Lac; Nicolet-Yamaska,Quebec,250000,12/1/1983,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3516,EFGJH,Abenakis,abe,Abenaki Western,,Hamlet,Populated Place,UNP,5e46b84cbbe411d892e2080020a0f4c9,46.5836111,-70.8205556,Sainte-Claire; Bellechasse,Quebec,250000,12/5/1968,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3519,DADAO,Acamac,pqm,Wolastoqey-Passamaquoddy,,Suburban Community,Populated Place,UNP,0c79bb5a849c20c3a1db8aaebb2fd783,45.268425,-66.155591,Saint John,New Brunswick,250000,2/1/1938,"New Brunswick-Tourism, Culture and Heritage",,,,Indigenous,exact,Canadian Geographic Names Database
3528,EKQJS,Adalomkamek,abe,Abenaki Western,,Named Locality,Populated Place,UNP,0ccfc9a8849c20c3eebcabb7c145198f,46.0855556,-72.8138889,Odanak; Nicolet-Yamaska,Quebec,250000,10/4/1984,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3536,FABRH,Beamsville,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c2239cc849c20c3c109ed154e1ce899,44.85986,-81.16361,Bruce,Ontario,250000,6/21/1946,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3541,FABRZ,Adelaide,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c223398849c20c3b4f317d794faceec,43.0051,-81.71214,Middlesex,Ontario,250000,5/4/1950,Ontario-Ministry of Natural Resources and Forestry,4.0,4.0,"Adelaide: township in Middlesex county, Ontario, was
    formed in 1830. It was named in honour of Amelia Adelaide Louisa
    Theresa Caroline, eldest daughter of George, Duke of
    Saxe-Coburg-Meiningen, and wife of King William IV.
    of England. [3]",English,exact,Armstrong (1930)
3543,FABSS,Admaston,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c223249849c20c3a249e556261b5a4b,45.47516,-76.81029,Renfrew,Ontario,250000,12/7/1937,Ontario-Ministry of Natural Resources and Forestry,6.0,6.0,"Admaston: township in Renfrew county, Ontario. It
    was erected into a separate municipality in 1843. The township was named in honour of Admaston
    village in Stafford county, England.",English,exact,Armstrong (1930)
3556,EFGVQ,Aguanish,moe,Innu,,Municipality,Populated Place,VILG,8e85f176bbe411d892e2080020a0f4c9,50.221832,-62.080679,Aguanish; Minganie,Quebec,250000,12/5/1968,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3566,KAABD,Aishihik,tli,Tlingit,,Locality,Populated Place,UNP,24e95061d05411d892e2080020a0f4c9,61.5977776,-137.5063888,,Yukon,250000,3/9/1981,Yukon-Department of Tourism and Culture,,,,Indigenous,exact,Canadian Geographic Names Database
3578,JABEH,Alberni,und,Undetermined,,Community,Populated Place,UNP,c2bcad80c6cd11d892e2080020a0f4c9,49.25,-124.8,Alberni Land District,British Columbia,250000,11/3/1980,"British Columbia-Tourism, Arts, Culture and Sport",10.0,10.0,"Alberni: city in British Columbia. It takes its name from the Alberni Canal, named in
    1791, after Pedro Alberni, Commander of the military
    force under Lieut. Francisco Eliza sent by the Viceroy of
    Mexico in 1790 to take possession of this coast.",Other European,exact,Armstrong (1930)
3586,FACDK,Walkerton,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c22066f849c20c3475d1ab0baa4c9b4,43.1867,-80.07125,Wentworth,Ontario,250000,7/6/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3588,FACDP,Albion,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c22072c849c20c3fdb3c814ece39dcd,43.9069445,-79.8461111,Peel,Ontario,250000,7/6/1950,Ontario-Ministry of Natural Resources and Forestry,12.0,12.0,"Albion: township in Peel county, Ontario. It is an ancient name for England, a favourite of
    poets. Originally Albion (from the Latin albus, white, referring
    to the white cliffs of the southern shore) included the
    whole island, Britain, but gradually became restricted to
    England, and the variant Albyn to the Highlands of
    Scotland.",English,exact,Armstrong (1930)
3602,FACER,Malden,und,Undetermined,,Railway Point,Populated Place,UNP,0c22022e849c20c355fb97c792dc118c,48.1913889,-84.5436111,Algoma,Ontario,250000,8/5/1954,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3619,FACJQ,Algonquin,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c21ebff849c20c3b47af97be9bc79df,44.7032,-75.66956,Grenville,Ontario,250000,6/6/1952,Ontario-Ministry of Natural Resources and Forestry,18.0,18.0,"Algonquin: National Park of Ontario. It is situated
    in Nipissing district and was set aside for this purpose
    in 1893 by the Legislature of Ontario. The Park comprises
    nearly 2,000 square miles of forests, lakes and
    streams. The forests are alive with deer, moose, beaver
    and wild fowl of many kinds. The lakes and streams
    abound in shining fish. Algonquin is paradise for the
    wildings of the wood. The Park took its name from the Algonquins who
    excelled most of the Indian tribes in arts and other attainments.
    By the Iroquois they were called Adirondacks,
    that is “bark-eaters”, in derision. In sober Indian they
    were called Odis qua gume, that is “people at the end of
    the water”. They are supposed to have been at the head
    of a northern confederacy and to have descended the
    Ottawa at the close of the 10th century and to have
    occupied the left bank of the St. Lawrence. This family
    of Indians received the generic name Algonquins from the
    French, formerly thought to have been contracted from Algomequin, meaning “those on the other side”, but now
    generally believed to be derived from the Micmac Algoo-making,
    meaning “at the place of spearing fish”.",Indigenous,exact,Armstrong (1930)
3622,FACJY,Alice,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c21ed80849c20c3f9ba9744d17de206,45.7572223,-77.29,Renfrew,Ontario,250000,2/6/1952,Ontario-Ministry of Natural Resources and Forestry,19.0,19.0,"Alice: township in Renfrew county, Ontario, formed
    in 1855. It is supposed to have been named after Princess Alice
    Maud Mary, second daughter of Queen Victoria. She[7] was, perhaps, the best loved and most popular of the
    Queen’s daughters. Princess Alice married Louis IV.,
    grand Duke of Hesse, in 1862. Her family were afflicted
    with the dread disease of diphtheria in 1878, and in the
    agony of death the Princess mother kissed one of her
    children. It proved the kiss of death.",English,exact,Armstrong (1930)
3629,FACLE,Allan,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c21e414849c20c3dc1d3a4b307a3e0f,44.61956,-77.47742,Hastings,Ontario,250000,1/7/1947,Ontario-Ministry of Natural Resources and Forestry,20.0,20.0,"Allan: township in Manitoulin, Ontario. It was named after Hon. G. W. Allan, a Senator of
    Canada. His father, Hon. William Allan, settled in York,
    Upper Canada, during Governor Simcoe’s regime. In
    1857 Senator Allan presented Toronto with five acres of
    land which now is known as the Horticultural (Allan)
    Gardens.",English,exact,Armstrong (1930)
3636,FEDES,Wallaceburg,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c6078fa849c20c3163b5e8255164220,43.07625,-79.20824,Niagara,Ontario,250000,12/7/1937,Ontario-Ministry of Natural Resources and Forestry,,,,Scottish,fuzzy,Armstrong (1930)
3653,FACPB,Allan,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0d030fe3849c20c37826693715bb129a,43.704444,-79.856389,Peel,Ontario,250000,5/4/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3656,FACPZ,Elmira,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c21cf81849c20c34b0d9e70effadf79,43.9322222,-79.3366666,York,Ontario,250000,5/4/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3672,FACSB,Alton,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0d0310e7849c20c3eca5a7990dff2afe,43.85931,-80.06894,Peel,Ontario,250000,10/6/1936,Ontario-Ministry of Natural Resources and Forestry,26.0,26.0,"Alton: village on Credit River, Peel county, Ontario. This locality was settled by families from the Niagara
    district about 1880. Several years later—about 1848—a
    public meeting was called to select a name for the place.
    Williamstown was chosen at first after a member of the
    McClellan family of the district. On further consideration
    a Mr. Meek suggested Alton. He had been reading
    of Alton in Illinois, a place resembling the Canadian
    situation in many respects. [9] The city of Alton, Illinois, is on a high limestone bluff,
    somewhat hilly, 200 feet above the waters of the Mississippi
    River. In all probability the name Alton was
    derived from the Latin altus, a, um, meaning “high” and
    English “town”.",English,exact,Armstrong (1930)
3674,FACSC,Alton,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c21c20e849c20c3d8a90b76effd39b6,43.9763889,-79.1969444,Durham,Ontario,250000,5/4/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3717,FACYB,Ancaster,und,Undetermined,,Community,Populated Place,UNP,3db8bfe1c6ce11d892e2080020a0f4c9,43.2091667,-80.0119444,Wentworth,Ontario,250000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,33.0,33.0,"Ancaster: township in Wentworth county, Ontario,
    formed in 1792. [12] It was named after the district called Ancaster in
    Lincolnshire, England. Many Roman remains have been
    found in this neighbourhood, bearing evidence that it was
    one of their strong military camps. This word is probably
    derived from the Latin particle an signifying important
    and castra a camp.",English,exact,Armstrong (1930)
3721,FACZI,Anderdon,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,5c9abce1d05211d892e2080020a0f4c9,44.2022,-76.92816,Lennox and Addington,Ontario,250000,11/30/1967,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3741,EKVJA,Anicinabe Ecitacikewapan,alq,Algonquin,,Named Locality,Populated Place,UNP,55796ff5d1e411d892e2080020a0f4c9,47.183071,-78.867857,Les Lacs-du-Témiscamingue; Témiscamingue,Quebec,250000,6/26/1985,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3755,FADHR,Anson,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,ff600e8ec6cd11d892e2080020a0f4c9,44.298055,-77.5975,Hastings,Ontario,250000,12/31/1974,Ontario-Ministry of Natural Resources and Forestry,38.0,38.0,"Anson: township in Haliburton, Ontario, formed in
    1858. It is named after a distinguished English family. One
    member, George Anson, was Commander-in-Chief of the
    British forces in India where he died of cholera in 1857.
    He served at Waterloo with the Scots Fusilier Guards.",English,exact,Armstrong (1930)
3756,FADHT,Anson,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c216a08849c20c3407505ce4f85ddb5,46.31655,-83.6095,Algoma,Ontario,250000,1/14/1970,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3770,FADKL,Appin,und,Undetermined,,Suburban Community,Populated Place,UNP,0cfba1aa849c20c3a55bd06d3905ceee,42.7958333,-81.6491667,Middlesex,Ontario,250000,5/6/1947,Ontario-Ministry of Natural Resources and Forestry,42.0,42.0,"Appin: pleasant village in Middlesex county, Ontario. It took its name from Appin in Scotland. As parish,
    mountainous district, village, or valley the name occurs
    in Argyleshire, Fifeshire and Perthshire. Appin signifies “abbey lands”, that is an estate
    annexed to the Church. The word is derived from the
    Gaelic abaid meaning “abbey”.",Scottish,exact,Armstrong (1930)
3791,CAAUE,Acadia,und,Undetermined,,Community,Populated Place,UNP,ae9ffa59af4a11d892e2080020a0f4c9,43.826049,-66.064515,Yarmouth,Nova Scotia,250000,6/26/2007,Nova Scotia-Department of Internal Services,,,,Indigenous,fuzzy,Armstrong (1930)
3824,FADPK,Paris,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c213695849c20c375e02a67d17c5a41,43.5752778,-80.365,Wellington,Ontario,250000,9/7/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3829,FADPU,Cartwright,und,Undetermined,,Compact Rural Community,Populated Place,UNP,e8b9e738d05311d892e2080020a0f4c9,44.4530555,-81.2158333,Bruce,Ontario,250000,7/6/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3856,FADTS,Crowland,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c211d14849c20c3f00df07df356691b,50.232065,-86.960023,Thunder Bay,Ontario,250000,12/5/1966,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
3857,FADTW,Appin,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c211e62849c20c3b97b89eaacb78b1c,48.9294445,-80.7236111,Cochrane,Ontario,250000,5/5/1949,Ontario-Ministry of Natural Resources and Forestry,,,,Scottish,fuzzy,Armstrong (1930)
3872,EJYCU,Asati,atj,"Atikamekw, Nehirowimowin",,Named Locality,Populated Place,UNP,4e851974bfae11d892e2080020a0f4c9,47.422778,-73.958889,La Tuque; Mauricie,Quebec,250000,4/1/1982,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3888,EKSWR,Askwataskupich,nsk,Naskapi,,Named Locality,Populated Place,UNP,d2fa5491d1e011d892e2080020a0f4c9,57.685,-69.5588889,Rivière-Koksoak; Nord-du-Québec,Quebec,250000,1/17/1985,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
3900,JARKF,Atchelitz,mis,Uncoded languages,,Community,Populated Place,UNP,ceaeb134c6cd11d892e2080020a0f4c9,49.1163889,-122.0177778,New Westminster Land District,British Columbia,250000,12/31/1966,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
3903,FADZW,Atherley,und,Undetermined,,Compact Rural Community,Populated Place,UNP,4d5f185bc6ce11d892e2080020a0f4c9,44.60123,-79.36117,Simcoe,Ontario,250000,12/31/1974,Ontario-Ministry of Natural Resources and Forestry,61.0,61.0,"Atherley: thriving village, situated on Lake Simcoe,
    three miles from Orillia, in the County of Ontario, Province
    of Ontario. This village was named after the township of Azerley
    (Atherley) in the municipality of Ripon, Yorkshire, England.
    The name was derived from Atzer, a man’s name,
    and ley (lea) meaning “a meadow”, that is, Atzer’s
    meadow.",English,exact,Armstrong (1930)
